scientific_name,directive,annex,priority,listing_type,gbif_usage_key,gbif_species_key,match_type,matched_rank,kingdom,class,genus,alternative_name,source_celex,verbatim_entry
Najas flexilis,Habitats,II,FALSE,taxon,5329315,5329315,EXACT,SPECIES,Plantae,Liliopsida,Najas,,01992L0043-20130701,Najas flexilis
Najas tenuissima,Habitats,II,FALSE,taxon,5329466,5329466,EXACT,SPECIES,Plantae,Liliopsida,Najas,,01992L0043-20130701,Najas tenuissima
Narcissus asturiensis,Habitats,II,FALSE,taxon,2858564,2858431,EXACT,SPECIES,Plantae,Liliopsida,Narcissus,,01992L0043-20130701,Narcissus asturiensis
Narcissus calcicola,Habitats,II,FALSE,taxon,2858644,2858644,EXACT,SPECIES,Plantae,Liliopsida,Narcissus,,01992L0043-20130701,Narcissus calcicola
Narcissus cyclamineus,Habitats,II,FALSE,taxon,2858654,2858654,EXACT,SPECIES,Plantae,Liliopsida,Narcissus,,01992L0043-20130701,Narcissus cyclamineus
Narcissus fernandesii,Habitats,II,FALSE,taxon,2858917,2858924,EXACT,SPECIES,Plantae,Liliopsida,Narcissus,,01992L0043-20130701,Narcissus fernandesii
Narcissus humilis,Habitats,II,FALSE,taxon,,,HIGHERRANK,GENUS,Plantae,Liliopsida,Narcissus,,01992L0043-20130701,Narcissus humilis
Narcissus nevadensis,Habitats,II,TRUE,taxon,2858662,2858662,EXACT,SPECIES,Plantae,Liliopsida,Narcissus,,01992L0043-20130701,* Narcissus nevadensis
Narcissus pseudonarcissus nobilis,Habitats,II,FALSE,taxon,2858245,4928424,EXACT,SUBSPECIES,Plantae,Liliopsida,Narcissus,,01992L0043-20130701,Narcissus pseudonarcissus nobilis
Narcissus scaberulus,Habitats,II,FALSE,taxon,2858572,2858572,EXACT,SPECIES,Plantae,Liliopsida,Narcissus,,01992L0043-20130701,Narcissus scaberulus
Narcissus triandrus capax,Habitats,II,FALSE,taxon,2858503,2858501,EXACT,SUBSPECIES,Plantae,Liliopsida,Narcissus,,01992L0043-20130701,Narcissus triandrus capax
Narcissus viridiflorus,Habitats,II,FALSE,taxon,2858201,2858201,EXACT,SPECIES,Plantae,Liliopsida,Narcissus,,01992L0043-20130701,Narcissus viridiflorus
Natrix natrix cypriaca,Habitats,II,TRUE,taxon,6161355,6161347,EXACT,SUBSPECIES,Animalia,Squamata,Natrix,,01992L0043-20130701,* Natrix natrix cypriaca
Naufraga balearica,Habitats,II,TRUE,taxon,5539675,5539675,EXACT,SPECIES,Plantae,Magnoliopsida,Naufraga,,01992L0043-20130701,* Naufraga balearica
Nepeta dirphya,Habitats,II,FALSE,taxon,5610593,5610593,EXACT,SPECIES,Plantae,Magnoliopsida,Nepeta,,01992L0043-20130701,Nepeta dirphya
Nepeta sphaciotica,Habitats,II,TRUE,taxon,5609657,5609657,EXACT,SPECIES,Plantae,Magnoliopsida,Nepeta,,01992L0043-20130701,* Nepeta sphaciotica
Nothothylas orbicularis,Habitats,II,FALSE,taxon,8078388,8078388,VARIANT,SPECIES,Plantae,Anthocerotopsida,Notothylas,,01992L0043-20130701,Nothothylas orbicularis
Nymphalis vaualbum,Habitats,II,TRUE,taxon,5714374,5129378,EXACT,SPECIES,Animalia,Insecta,Polygonia,,01992L0043-20130701,* Nymphalis vaualbum
Ochyraea tatrensis,Habitats,II,FALSE,taxon,8072836,10693380,EXACT,SPECIES,Plantae,Bryopsida,Platyhypnum,,01992L0043-20130701,Ochyraea tatrensis
Odontites granatensis,Habitats,II,FALSE,taxon,7384046,8381949,EXACT,SPECIES,Plantae,Magnoliopsida,Odontites,,01992L0043-20130701,Odontites granatensis
Odontites holliana,Habitats,II,FALSE,taxon,7824523,7824523,VARIANT,SPECIES,Plantae,Magnoliopsida,Odontites,,01992L0043-20130701,Odontites holliana
Odontopodisma rubripes,Habitats,II,FALSE,taxon,1710221,1710221,EXACT,SPECIES,Animalia,Insecta,Odontopodisma,,01992L0043-20130701,Odontopodisma rubripes
Oenanthe conioides,Habitats,II,TRUE,taxon,7443268,7443268,EXACT,SPECIES,Plantae,Magnoliopsida,Oenanthe,,01992L0043-20130701,* Oenanthe conioides
Oenanthe divaricata,Habitats,II,FALSE,taxon,5540468,5540468,EXACT,SPECIES,Plantae,Magnoliopsida,Oenanthe,,01992L0043-20130701,Oenanthe divaricata
Omphalodes kuzinskyanae,Habitats,II,FALSE,taxon,4059780,9479684,EXACT,SPECIES,Plantae,Magnoliopsida,Iberodes,,01992L0043-20130701,Omphalodes kuzinskyanae
Omphalodes littoralis,Habitats,II,TRUE,taxon,4059742,9290052,EXACT,SPECIES,Plantae,Magnoliopsida,Iberodes,,01992L0043-20130701,* Omphalodes littoralis
Ononis hackelii,Habitats,II,TRUE,taxon,2977271,2977270,EXACT,SPECIES,Plantae,Magnoliopsida,Ononis,,01992L0043-20130701,* Ononis hackelii
Onopordum nogalesii,Habitats,II,TRUE,taxon,3094907,3094899,EXACT,SPECIES,Plantae,Magnoliopsida,Onopordum,,01992L0043-20130701,* Onopordum nogalesii
Onorpordum carduelinum,Habitats,II,TRUE,taxon,9579515,9579515,VARIANT,SPECIES,Plantae,Magnoliopsida,Onopordum,,01992L0043-20130701,* Onorpordum carduelinum
Onosma tornensis,Habitats,II,TRUE,taxon,4067320,4067320,EXACT,SPECIES,Plantae,Magnoliopsida,Onosma,,01992L0043-20130701,* Onosma tornensis
Ophioglossum polyphyllum,Habitats,II,FALSE,taxon,3659152,3659152,EXACT,SPECIES,Plantae,Polypodiopsida,Ophioglossum,,01992L0043-20130701,Ophioglossum polyphyllum
Ophiogomphus cecilia,Habitats,II,FALSE,taxon,1426058,1426058,EXACT,SPECIES,Animalia,Insecta,Ophiogomphus,,01992L0043-20130701,Ophiogomphus cecilia
Ophrys kotschyi,Habitats,II,TRUE,taxon,2793061,2793061,EXACT,SPECIES,Plantae,Liliopsida,Ophrys,,01992L0043-20130701,* Ophrys kotschyi
Ophrys lunulata,Habitats,II,TRUE,taxon,2793844,2793844,EXACT,SPECIES,Plantae,Liliopsida,Ophrys,,01992L0043-20130701,* Ophrys lunulata
Ophrys melitensis,Habitats,II,FALSE,taxon,2792740,2792725,EXACT,SPECIES,Plantae,Liliopsida,Ophrys,,01992L0043-20130701,Ophrys melitensis
Origanum dictamnus,Habitats,II,FALSE,taxon,3894972,3894972,EXACT,SPECIES,Plantae,Magnoliopsida,Origanum,,01992L0043-20130701,Origanum dictamnus
Orobanche densiflora,Habitats,II,FALSE,taxon,10926869,10926869,EXACT,SPECIES,Plantae,Magnoliopsida,Orobanche,,01992L0043-20130701,Orobanche densiflora
Orthothecium lapponicum,Habitats,II,FALSE,taxon,5283624,5283624,EXACT,SPECIES,Plantae,Bryopsida,Orthothecium,,01992L0043-20130701,Orthothecium lapponicum
